com.samsung.shealth.stress,6212007,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2022-04-15 15:00:00.000,,6795e7b0-f73c-4b9a-981b-97c94991797a.binning_data.json,10011,2022-04-15 16:13:02.750,2022-04-15 15:09:44.769,79.0,0.0,14.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-15 15:59:59.999,6795e7b0-f73c-4b9a-981b-97c94991797a,
2022-04-14 21:00:00.000,,a9042e66-bcfd-4284-981f-f3fdcab80d90.binning_data.json,10011,2022-04-14 22:08:04.839,2022-04-14 21:39:52.172,83.0,0.0,30.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 21:59:59.999,a9042e66-bcfd-4284-981f-f3fdcab80d90,
2022-04-15 13:00:00.000,,e52d7468-61c8-473f-a50d-375b05e4cd39.binning_data.json,10011,2022-04-15 14:04:43.939,2022-04-15 14:04:43.939,3.0,0.0,1.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-15 13:59:59.999,e52d7468-61c8-473f-a50d-375b05e4cd39,
2022-04-14 22:00:00.000,,7182c237-2889-4d8c-9f5c-f11b9fdc5a30.binning_data.json,10011,2022-04-14 23:07:06.321,2022-04-14 23:07:06.321,85.0,0.0,30.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 22:59:59.999,7182c237-2889-4d8c-9f5c-f11b9fdc5a30,
2022-04-15 18:00:00.000,,a203c9cd-c4f6-4a9e-8116-9f5b344a8e46.binning_data.json,10011,2022-04-15 19:09:53.249,2022-04-15 19:09:53.249,77.0,1.0,21.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-15 18:59:59.999,a203c9cd-c4f6-4a9e-8116-9f5b344a8e46,
2022-04-15 20:00:00.000,,e01b3b8a-e7f0-463f-9547-64e4ec5cfce9.binning_data.json,10011,2022-04-15 21:03:41.359,2022-04-15 21:03:41.359,100.0,2.0,39.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-15 20:59:59.999,e01b3b8a-e7f0-463f-9547-64e4ec5cfce9,
2022-04-15 16:00:00.000,,f3d32df6-9691-4c5e-9a63-8f76f7ac2ebf.binning_data.json,10011,2022-04-15 17:05:00.188,2022-04-15 17:05:00.188,92.0,4.0,39.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-15 16:59:59.999,f3d32df6-9691-4c5e-9a63-8f76f7ac2ebf,
2022-04-15 19:00:00.000,,b1d53fc1-e5bc-49a5-87b5-2f883169d556.binning_data.json,10011,2022-04-15 20:06:35.404,2022-04-15 20:06:35.404,98.0,0.0,22.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-15 19:59:59.999,b1d53fc1-e5bc-49a5-87b5-2f883169d556,
2022-04-16 00:00:00.000,,65469aec-1069-40e0-ac9d-43cc60b96fe5.binning_data.json,10011,2022-04-16 01:03:57.415,2022-04-16 01:03:57.415,32.0,0.0,9.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 00:59:59.999,65469aec-1069-40e0-ac9d-43cc60b96fe5,
2022-04-15 17:00:00.000,,748f7af8-6284-46b4-83c4-23ff7980cd07.binning_data.json,10011,2022-04-15 18:08:19.376,2022-04-15 18:08:19.376,58.0,0.0,20.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-15 17:59:59.999,748f7af8-6284-46b4-83c4-23ff7980cd07,
2022-04-15 21:00:00.000,,e553b1b8-3129-4e33-a400-ba7b43e75ac6.binning_data.json,10011,2022-04-15 22:09:09.288,2022-04-15 22:09:09.288,59.0,2.0,17.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-15 21:59:59.999,e553b1b8-3129-4e33-a400-ba7b43e75ac6,
2022-04-15 22:00:00.000,,38b8485c-e68f-4dce-987e-70e2b56816d7.binning_data.json,10011,2022-04-15 23:06:52.558,2022-04-15 23:06:52.558,95.0,2.0,35.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-15 22:59:59.999,38b8485c-e68f-4dce-987e-70e2b56816d7,
2022-04-16 03:00:00.000,,4355ed96-a360-4243-92f5-43dcc642f7cf.binning_data.json,10011,2022-04-16 04:05:21.013,2022-04-16 04:05:21.013,100.0,0.0,47.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 03:59:59.999,4355ed96-a360-4243-92f5-43dcc642f7cf,
2022-04-16 02:00:00.000,,7a5886dc-799d-4d56-835f-c03060cae2ac.binning_data.json,10011,2022-04-16 03:03:54.110,2022-04-16 03:03:54.110,100.0,0.0,63.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 02:59:59.999,7a5886dc-799d-4d56-835f-c03060cae2ac,
2022-04-15 23:00:00.000,,54f1b0a1-f386-4626-bd1b-d6d0cd47ee9e.binning_data.json,10011,2022-04-16 00:05:03.611,2022-04-16 00:05:03.611,44.0,0.0,8.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-15 23:59:59.999,54f1b0a1-f386-4626-bd1b-d6d0cd47ee9e,
