com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
5928,4,0,11,2022-04-11 15:41:00.000,,,2022-04-11 15:41:34.773,2022-04-11 15:41:34.773,11,1.3055556,7.74,0.44,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 15:42:00.000,e1a5d7fd-a80d-4d43-9418-0d9833bf2043,
4781,4,0,10,2022-04-11 01:35:00.000,,,2022-04-11 01:42:24.579,2022-04-11 01:42:24.579,10,1.5833334,7.57,0.37,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 01:36:00.000,e7b83b61-1e22-4b53-9e1b-4fc411efef8f,
10939,4,2,23,2022-04-11 17:59:00.000,,,2022-04-11 18:03:37.384,2022-04-11 18:03:37.384,25,1.7222222,18.84,1.33,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 18:00:00.000,e28ffa74-a5e1-42ae-93be-9b4a21177a26,
10121,4,0,17,2022-04-11 16:13:00.000,,,2022-04-11 16:13:37.706,2022-04-11 16:13:37.706,17,1.1944444,12.09,0.66,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 16:14:00.000,32064377-3187-4b0e-a115-c8f7e12b887c,
26065,4,0,33,2022-04-11 01:43:00.000,,,2022-04-11 01:43:59.658,2022-04-11 01:43:39.893,33,0.95158434,24.803833,1.3786316,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 01:44:00.000,dd5b1836-06e0-4320-9e95-c9a965d7f240,
7852,4,0,22,2022-04-11 04:33:00.000,,,2022-04-11 04:33:49.697,2022-04-11 04:33:49.697,22,2.2222223,17.45,0.76,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 04:34:00.000,a6fde428-8e5b-4ef1-ad95-5a5a8708eb94,
15510,4,0,30,2022-04-11 18:07:00.000,,,2022-04-11 18:09:02.419,2022-04-11 18:07:15.592,30,1.5077176,23.385376,1.2252045,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 18:08:00.000,fa602f8c-5030-43de-ad19-f8a87587fcc9,
33358,4,0,63,2022-04-11 17:52:00.000,,,2022-04-11 17:52:59.220,2022-04-11 17:52:26.976,63,1.47015,49.04236,2.5656967,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 17:53:00.000,8775fc14-7de8-4bf9-a7bc-2eac62515c66,
4015,4,0,10,2022-04-11 15:43:00.000,,,2022-04-11 15:43:19.629,2022-04-11 15:43:19.629,10,1.9722222,7.92,0.38,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 15:44:00.000,1f1164c6-72dc-4b2d-acc4-859ce12831fe,
40972,4,0,78,2022-04-11 19:25:00.000,,,2022-04-11 19:25:59.951,2022-04-11 19:25:15.193,78,1.4831299,60.767944,3.178299,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 19:26:00.000,70b40f66-a6ad-4c3c-8839-8d4024c8566e,
